,Postcode district,Post town,Coverage,Local authority area
52,LL62,BODORGAN,"Bodorgan, Bethel (Anglesey), Hermon, Llangristiolus, Malltraeth, Trefdraeth",Isle of Anglesey
53,LL63,TY CROES,"Ty Croes, Aberffraw, Llanfaelog",Isle of Anglesey
54,LL64,RHOSNEIGR,Rhosneigr,Isle of Anglesey
55,LL65,HOLYHEAD,"Holyhead, Trearddur Bay, Four Mile Bridge, Rhoscolyn, Bodedern, Bryngwran, Caergeiliog, Llanynghenedl, Trefor, Valley, Gwalchmai, Llanddeusant, Llanfachraeth, Llanfaethlu, Llanfairynghornwy, Llanrhyddlad, Rhydwyn",Isle of Anglesey
56,LL66,RHOSGOCH,Rhosgoch,Isle of Anglesey
57,LL67,CEMAES BAY,"Cemaes Bay, Tregele",Isle of Anglesey
58,LL68,AMLWCH,"Amlwch, Bull Bay, Carreglefn, Llanfechell, Rhosybol",Isle of Anglesey
59,LL69,PENYSARN,Penysarn,Isle of Anglesey
60,LL70,DULAS,Dulas,Isle of Anglesey
61,LL71,LLANERCHYMEDD,Llanerchymedd,Isle of Anglesey
62,LL72,MOELFRE,Moelfre,Isle of Anglesey
63,LL73,MARIANGLAS,Marianglas,Isle of Anglesey
64,LL74,TYN-Y-GONGL,"Tyn-y-Gongl, Benllech",Isle of Anglesey
65,LL75,PENTRAETH,"Pentraeth, Red Wharf Bay, Rhoscefnhir",Isle of Anglesey
66,LL76,LLANBEDRGOCH,Llanbedrgoch,Isle of Anglesey
67,LL77,LLANGEFNI,"Bodffordd, Rhostrehwfa, Talwrn, Llangefni",Isle of Anglesey
68,LL77,RHOSNEIGR,,non-geographic[23]
69,LL78,BRYNTEG,Brynteg,Isle of Anglesey
